SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
746GS2073, GS, 06-Feb-2026, 102.00, 102.50, 102.50, 102.50, 102.50, 102.50, 102.50, 1170, 1.20, 4, 1170, 100.00
74GS2062, GS, 06-Feb-2026, 102.42, 102.99, 102.99, 102.10, 102.10, 102.10, 102.19, 3932, 4.02, 8, 3929, 99.92
754GS2036, GS, 06-Feb-2026, 106.53, 106.12, 106.79, 106.12, 106.68, 106.56, 106.56, 339765, 362.07, 85, 328136, 96.58
813GS2045, GS, 06-Feb-2026, 108.30, 113.71, 113.71, 113.60, 113.60, 113.60, 113.60, 31, 0.04, 2, 31, 100.00
817GS2044, GS, 06-Feb-2026, 121.27, 116.00, 121.27, 116.00, 121.27, 121.27, 121.12, 35, 0.04, 2, 35, 100.00
826GS2027, GS, 06-Feb-2026, 105.93, 104.87, 104.87, 104.87, 104.87, 104.87, 104.87, 7, 0.01, 3, 7, 100.00
897GS2030, GS, 06-Feb-2026, 114.00, 114.00, 114.00, 114.00, 114.00, 114.00, 114.00, 1, 0.00, 1, 1, 100.00
92GS2030, GS, 06-Feb-2026, 114.50, 114.50, 115.95, 113.75, 114.10, 114.10, 114.36, 35880, 41.03, 28, 33550, 93.51
A2ZINFRA, EQ, 06-Feb-2026, 14.25, 14.70, 14.70, 13.81, 14.18, 14.00, 14.11, 104099, 14.69, 237, 70134, 67.37
AAATECH, BE, 06-Feb-2026, 101.01, 101.20, 101.20, 98.09, 100.00, 99.00, 99.23, 12213, 12.12, 188, -, -
AADHARHFC, EQ, 06-Feb-2026, 472.55, 471.90, 475.60, 471.90, 473.85, 474.70, 474.22, 325975, 1545.84, 10266, 242239, 74.31
AAKAAR, SM, 06-Feb-2026, 51.00, 51.00, 51.00, 51.00, 51.00, 51.00, 51.00, 6400, 3.26, 4, 6400, 100.00
AAKASH, EQ, 06-Feb-2026, 7.91, 7.80, 7.92, 7.40, 7.82, 7.80, 7.76, 54618, 4.24, 301, 44864, 82.14
AARADHYA, SM, 06-Feb-2026, 114.00, 115.00, 115.00, 115.00, 115.00, 115.00, 115.00, 1200, 1.38, 1, 1200, 100.00
AAREYDRUGS, EQ, 06-Feb-2026, 65.61, 66.48, 67.70, 62.41, 67.50, 67.18, 66.08, 113962, 75.30, 841, 68162, 59.81
AARON, EQ, 06-Feb-2026, 164.16, 165.00, 165.11, 162.50, 164.95, 163.22, 163.74, 5166, 8.46, 246, 3354, 64.92
AARTECH, EQ, 06-Feb-2026, 46.28, 45.70, 46.69, 45.20, 46.00, 46.08, 45.77, 12364, 5.66, 520, 4492, 36.33
AARTIDRUGS, EQ, 06-Feb-2026, 374.90, 375.60, 377.70, 371.30, 375.00, 374.65, 375.10, 103223, 387.19, 3683, 52951, 51.30
AARTIIND, EQ, 06-Feb-2026, 453.60, 451.20, 452.85, 437.55, 440.30, 440.95, 442.45, 1339511, 5926.67, 33069, 484763, 36.19
AARTIPHARM, EQ, 06-Feb-2026, 783.35, 783.35, 785.00, 763.45, 778.35, 776.80, 772.85, 107929, 834.13, 6925, 40806, 37.81
AARTISURF, EQ, 06-Feb-2026, 421.35, 423.90, 428.95, 416.45, 424.00, 426.75, 424.87, 9434, 40.08, 615, 3098, 32.84
AARVI, EQ, 06-Feb-2026, 127.77, 131.63, 137.70, 126.57, 131.90, 130.97, 131.68, 33586, 44.23, 1526, 11245, 33.48
AATMAJ, SM, 06-Feb-2026, 21.75, 23.00, 23.00, 22.00, 22.00, 22.00, 22.50, 4000, 0.90, 2, 2000, 50.00
AAVAS, EQ, 06-Feb-2026, 1379.50, 1380.00, 1388.20, 1277.10, 1302.10, 1301.40, 1308.15, 1086561, 14213.84, 66929, 518346, 47.71
ABAN, BE, 06-Feb-2026, 20.63, 20.81, 21.50, 20.63, 21.20, 21.25, 21.25, 57966, 12.32, 352, -, -
ABB, EQ, 06-Feb-2026, 5770.00, 5769.00, 5845.00, 5726.50, 5800.00, 5816.00, 5800.23, 304093, 17638.08, 33044, 92602, 30.45
ABBOTINDIA, EQ, 06-Feb-2026, 27215.00, 27200.00, 27415.00, 26915.00, 27285.00, 27365.00, 27165.59, 4095, 1112.43, 2762, 2491, 60.83
ABCAPITAL, EQ, 06-Feb-2026, 344.65, 344.00, 349.30, 335.30, 347.30, 347.75, 342.18, 4235574, 14493.42, 51838, 1702654, 40.20
ABCOTS, EQ, 06-Feb-2026, 424.25, 424.00, 435.00, 416.00, 420.00, 427.75, 425.16, 24968, 106.15, 1172, 3978, 15.93
ABDL, EQ, 06-Feb-2026, 514.95, 510.00, 518.00, 506.00, 510.65, 514.75, 512.08, 160684, 822.83, 7271, 75185, 46.79
ABFRL, EQ, 06-Feb-2026, 70.89, 69.47, 69.47, 66.45, 68.73, 68.82, 67.73, 7387683, 5003.78, 35284, 2214951, 29.98
ABGSEC, EQ, 06-Feb-2026, 110.99, 110.99, 113.06, 110.99, 113.06, 113.06, 112.44, 514, 0.58, 11, 397, 77.24
ABHAPOWER, SM, 06-Feb-2026, 34.25, 32.95, 32.95, 32.90, 32.90, 32.90, 32.93, 3200, 1.05, 2, 3200, 100.00
ABINFRA, EQ, 06-Feb-2026, 20.99, 20.77, 21.12, 20.25, 20.47, 20.40, 20.70, 663875, 137.39, 1793, 382167, 57.57
ABLBL, EQ, 06-Feb-2026, 114.09, 114.00, 114.00, 109.74, 111.26, 111.18, 111.25, 829189, 922.48, 9225, 358096, 43.19
ABMINTLLTD, EQ, 06-Feb-2026, 41.75, 44.00, 45.00, 41.00, 41.00, 43.03, 42.75, 1289, 0.55, 34, 765, 59.35
ABREL, EQ, 06-Feb-2026, 1303.50, 1302.90, 1382.70, 1278.30, 1342.40, 1351.90, 1340.61, 641122, 8594.94, 44177, 140923, 21.98
ABSLAMC, EQ, 06-Feb-2026, 809.75, 808.95, 818.00, 798.55, 812.05, 813.00, 809.53, 144525, 1169.97, 12225, 75954, 52.55
ABSLBANETF, EQ, 06-Feb-2026, 61.25, 61.34, 61.40, 60.90, 61.40, 61.33, 61.17, 7706, 4.71, 268, 6014, 78.04
ABSLLIQUID, EQ, 06-Feb-2026, 999.99, 1000.00, 1000.01, 999.99, 999.99, 999.99, 1000.00, 6284, 62.84, 41, 3188, 50.73
ABSLNN50ET, EQ, 06-Feb-2026, 72.12, 72.12, 72.43, 71.35, 71.90, 72.15, 71.66, 20697, 14.83, 227, 17954, 86.75
ABSLPSE, EQ, 06-Feb-2026, 10.67, 10.73, 10.82, 10.55, 10.82, 10.68, 10.63, 1179293, 125.40, 603, 945877, 80.21
ABSMARINE, SM, 06-Feb-2026, 176.80, 176.55, 176.95, 171.50, 175.00, 173.25, 173.38, 33500, 58.08, 59, 27000, 80.60
ACC, EQ, 06-Feb-2026, 1676.20, 1675.00, 1689.60, 1652.50, 1673.00, 1667.40, 1665.08, 124609, 2074.84, 10401, 36497, 29.29
ACCELYA, EQ, 06-Feb-2026, 1365.30, 1306.60, 1307.80, 1260.00, 1274.50, 1274.20, 1273.87, 44301, 564.34, 4315, 16819, 37.97
ACCENTMIC, SM, 06-Feb-2026, 322.70, 323.00, 331.00, 323.00, 330.00, 330.00, 328.00, 7500, 24.60, 13, 5500, 73.33
ACCPL, ST, 06-Feb-2026, 69.60, 68.50, 68.50, 66.15, 66.55, 66.60, 66.49, 20400, 13.56, 17, 19200, 94.12
ACCURACY, EQ, 06-Feb-2026, 5.19, 5.20, 5.23, 5.01, 5.18, 5.14, 5.14, 51963, 2.67, 505, 30945, 59.55
ACE, EQ, 06-Feb-2026, 895.20, 897.00, 930.00, 883.65, 918.00, 919.45, 913.37, 345866, 3159.05, 20468, 141579, 40.93
ACEINTEG, EQ, 06-Feb-2026, 19.78, 19.77, 20.66, 19.12, 19.59, 19.59, 19.68, 3766, 0.74, 78, 1158, 30.75
ACI, EQ, 06-Feb-2026, 596.15, 595.00, 595.00, 571.00, 573.35, 580.20, 583.51, 131455, 767.06, 6992, 50802, 38.65
ACL, EQ, 06-Feb-2026, 58.63, 58.51, 59.40, 57.70, 58.50, 58.56, 58.32, 5027, 2.93, 175, 3138, 62.42
ACMESOLAR, EQ, 06-Feb-2026, 227.11, 227.11, 227.11, 220.20, 221.95, 221.59, 223.49, 292514, 653.75, 8237, 114815, 39.25
ACTIVEINFR, SM, 06-Feb-2026, 170.00, 170.00, 170.00, 170.00, 170.00, 170.00, 170.00, 600, 1.02, 1, 600, 100.00
ACUTAAS, EQ, 06-Feb-2026, 1980.50, 1985.00, 2010.00, 1950.10, 1975.00, 1986.90, 1989.23, 304904, 6065.23, 23519, 159128, 52.19
ADANIENSOL, EQ, 06-Feb-2026, 1011.45, 1010.40, 1025.95, 1001.50, 1014.95, 1017.70, 1013.26, 1811726, 18357.45, 43666, 724991, 40.02
ADANIENT, EQ, 06-Feb-2026, 2236.60, 2226.10, 2238.00, 2200.40, 2219.00, 2226.40, 2221.02, 933650, 20736.54, 37449, 217423, 23.29
ADANIGREEN, EQ, 06-Feb-2026, 967.15, 966.00, 974.95, 954.25, 968.00, 971.85, 963.97, 1608144, 15502.00, 32595, 376836, 23.43
ADANIPORTS, EQ, 06-Feb-2026, 1570.20, 1563.00, 1575.50, 1527.00, 1549.50, 1550.70, 1559.05, 4429173, 69053.15, 69792, 3235897, 73.06
ADANIPOWER, EQ, 06-Feb-2026, 153.45, 152.00, 154.11, 150.00, 152.25, 152.74, 152.64, 17334858, 26459.99, 81508, 6084741, 35.10
ADDICTIVE, SM, 06-Feb-2026, 104.10, 101.00, 104.00, 101.00, 104.00, 104.00, 103.14, 17500, 18.05, 13, 17500, 100.00
ADFFOODS, EQ, 06-Feb-2026, 227.73, 227.73, 231.39, 218.52, 224.10, 226.92, 226.30, 329563, 745.80, 6401, 93282, 28.30
ADL, EQ, 06-Feb-2026, 71.92, 71.92, 71.92, 71.54, 71.54, 71.54, 71.73, 101, 0.07, 4, 101, 100.00
ADOR, EQ, 06-Feb-2026, 1060.60, 1060.60, 1069.40, 1043.60, 1058.00, 1055.30, 1060.66, 6712, 71.19, 903, 4344, 64.72
ADROITINFO, EQ, 06-Feb-2026, 9.96, 10.65, 10.65, 9.99, 10.50, 10.05, 10.05, 158243, 15.91, 142, 153156, 96.79
ADSL, EQ, 06-Feb-2026, 128.50, 128.13, 128.14, 124.05, 125.99, 125.65, 125.42, 124011, 155.53, 2923, 51678, 41.67
ADVAIT, EQ, 06-Feb-2026, 1518.30, 1518.20, 1685.00, 1501.50, 1624.90, 1642.10, 1625.78, 110577, 1797.74, 12609, 29861, 27.00
ADVANCE, EQ, 06-Feb-2026, 130.83, 131.40, 136.02, 130.23, 132.90, 133.14, 132.08, 1568140, 2071.15, 8065, 770696, 49.15
ADVANIHOTR, EQ, 06-Feb-2026, 56.04, 55.73, 56.16, 55.60, 56.06, 56.01, 55.93, 20438, 11.43, 401, 12701, 62.14
ADVENTHTL, EQ, 06-Feb-2026, 214.04, 211.35, 219.83, 211.35, 216.00, 214.53, 215.73, 64917, 140.05, 1757, 28227, 43.48
ADVENZYMES, EQ, 06-Feb-2026, 291.20, 289.25, 294.10, 285.00, 291.70, 287.45, 288.75, 71785, 207.28, 2179, 35435, 49.36
AEGISLOG, EQ, 06-Feb-2026, 687.05, 687.05, 697.55, 684.20, 690.00, 690.75, 689.55, 132218, 911.70, 10090, 52742, 39.89
AEGISVOPAK, EQ, 06-Feb-2026, 228.89, 225.00, 225.29, 215.00, 215.50, 217.81, 220.61, 830016, 1831.06, 16172, 384892, 46.37
AEQUS, EQ, 06-Feb-2026, 139.77, 139.99, 142.35, 139.37, 140.00, 140.18, 140.86, 452029, 636.75, 12929, 178864, 39.57
AEROENTER, EQ, 06-Feb-2026, 79.18, 79.79, 80.44, 77.91, 80.44, 79.60, 78.76, 167635, 132.03, 1131, 50922, 30.38
AEROFLEX, EQ, 06-Feb-2026, 187.98, 186.29, 188.00, 183.22, 185.00, 185.65, 185.57, 407845, 756.84, 6859, 156217, 38.30
